web-scraper-order,web-scraper-start-url,ASIN,ASIN-href,price,Product Description,Description,Product Details,Product Details-ASIN
"1692630205-45","https://www.amazon.in/s?k=bags&crid=2M096C61O4MLT&qid=1653308124&sprefix=ba%2Caps%2C283&ref=sr_pg_18","Contacts Unisex Vintage Travel Laptop Backpack with usb Charging Port Fits Upto 15.6 Inch Laptop - Black…","https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NjE1NTcxMTQ0ODU2NjY1OjE2OTI2MzAxODQ6c3BfYnRmOjIwMTYxNzczMTg2ODk4OjowOjo&url=%2FContacts-Unisex-Vintage-Backpack-Charging%2Fdp%2FB0C4PV38VB%2Fref%3Dsr_1_22_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1692630184%26sprefix%3Dba%252Caps%252C283%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1","1,199","CONTACTS is a brand dedicated to provide you with latest fashion trends and quality backpack, so that you can enjoy your life more stylish and easier. CONTACTS' Versatile Backpack is an ideal pick for your every penny spent. This Bag lets you carry various office documents and files and laptop. With fully padded interiors, it gives your laptop, files and other documents the needed protection from external damages. A padded sleeve with a 15-inch laptop compatibility that can be used according to your needs on different occasions. CONTACTS bagpack has a USB port that offers a hands-free convenient charging of your electronic devices. We have a long experience in what we do - our goal is to combine convenience with style and give you quality product that will offer you with a maximum results.","Lots of Storage Space&Pockets: One separate laptop compartment hold 15.6 Inch Laptop as well as 15 Inch,14 Inch and 13 Inch Macbook/Laptop. One spacious packing compartment roomy for daily necessities,tech electronics accessories. Front compartment with many pockets, pen pockets and key fob hook, make your items organized and easier to find","[]",""
"1692630226-46","https://www.amazon.in/s?k=bags&crid=2M096C61O4MLT&qid=1653308124&sprefix=ba%2Caps%2C283&ref=sr_pg_18","uppercase Apex Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NjE1NTcxMTQ0ODU2NjY1OjE2OTI2MzAxODQ6c3BfYnRmOjIwMTI1ODk5OTIwNjk4OjowOjo&url=%2FUppercase-Professional-Backpack-Resistant-Sustainable%2Fdp%2FB0BWNBQXDZ%2Fref%3Dsr_1_21_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1692630184%26sprefix%3Dba%252Caps%252C283%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1","1,800","","Care Instructions: Wipe with Damp Cloth","[{""Product Details"":""Product Dimensions\n                                    ‏\n                                        :\n                                    ‎\n                                 13.5 x 31 x 44 cm; 540 Grams            Date First Available\n                                    ‏\n                                        :\n                                    ‎\n                                 23 February 2023                                    Manufacturer\n                                    ‏\n                                        :\n                                    ‎\n                                 Acefour Accessories Pvt. Ltd.                         ASIN\n                                    ‏\n                                        :\n                                    ‎\n                                 B0BWNBQXDZ            Item model number\n                                    ‏\n                                        :\n                                    ‎\n                                 2700EBP2BLU            Country of Origin\n                                    ‏\n                                        :\n                                    ‎\n                                 India            Department\n                                    ‏\n                                        :\n                                    ‎\n                                 Unisex-adult            Manufacturer\n                                    ‏\n                                        :\n                                    ‎\n                                 Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India. Customer Care: Email : customercare@uppercase.co.in & Contact no. +91 8691 800 800            Packer\n                                    ‏\n                                        :\n                                    ‎\n                                 Acefour Accessories Pvt. Ltd.            Item Weight\n                                    ‏\n                                        :\n                                    ‎\n                                 540 g            Item Dimensions LxWxH\n                                    ‏\n                                        :\n                                    ‎\n                                 13.5 x 31 x 44 Centimeters            Net Quantity\n                                    ‏\n                                        :\n                                    ‎\n                                 1.00 count"",""Product Details-ASIN"":null}]",""
"1692630231-47","https://www.amazon.in/s?k=bags&crid=2M096C61O4MLT&qid=1653308124&sprefix=ba%2Caps%2C283&ref=sr_pg_18","ADISA 15.6 inch laptop backpack office bag college travel back pack 32 Ltrs","https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1692630184&sprefix=ba%2Caps%2C283&sr=8-20","499","","Care Instructions: Wipe with Damp Cloth","[{""Product Details"":""Product Dimensions\n                                    ‏\n                                        :\n                                    ‎\n                                 32 x 20 x 47 cm; 530 Grams            Date First Available\n                                    ‏\n                                        :\n                                    ‎\n                                 1 March 2022                                    Manufacturer\n                                    ‏\n                                        :\n                                    ‎\n                                 ADISA                         ASIN\n                                    ‏\n                                        :\n                                    ‎\n                                 B09TPX22NF            Item model number\n                                    ‏\n                                        :\n                                    ‎\n                                 BP041            Country of Origin\n                                    ‏\n                                        :\n                                    ‎\n                                 India            Department\n                                    ‏\n                                        :\n                                    ‎\n                                 Men            Manufacturer\n                                    ‏\n                                        :\n                                    ‎\n                                 ADISA, ADISA INTERNATIONAL, 42/34, Upper Ground Floor, DLF Industrial Area, Kirti Nagar, New Delhi 110015, careadisa@gmail.com            Packer\n                                    ‏\n                                        :\n                                    ‎\n                                 ADISA INTERNATIONAL, 42/34, Upper Ground Floor, DLF Industrial Area, Kirti Nagar, New Delhi 110015, careadisa@gmail.com            Item Weight\n                                    ‏\n                                        :\n                                    ‎\n                                 530 g            Item Dimensions LxWxH\n                                    ‏\n                                        :\n                                    ‎\n                                 32 x 20 x 47 Centimeters            Net Quantity\n                                    ‏\n                                        :\n                                    ‎\n                                 1.00 count            Included Components\n                                    ‏\n                                        :\n                                    ‎\n                                 Laptop backpack only            Generic Name\n                                    ‏\n                                        :\n                                    ‎\n                                 Laptop backpack"",""Product Details-ASIN"":null}]",""
"1692630235-48","https://www.amazon.in/s?k=bags&crid=2M096C61O4MLT&qid=1653308124&sprefix=ba%2Caps%2C283&ref=sr_pg_18","Half Moon 35 Ltrs Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Navy Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips","https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1692630184&sprefix=ba%2Caps%2C283&sr=8-19","649","","Care Instructions: Hand Wash Only","[{""Product Details"":""Product Dimensions\n                                    ‏\n                                        :\n                                    ‎\n                                 21 x 33 x 48 cm; 600 Grams            Date First Available\n                                    ‏\n                                        :\n                                    ‎\n                                 28 February 2020                                    Manufacturer\n                                    ‏\n                                        :\n                                    ‎\n                                 Amazing Bags                         ASIN\n                                    ‏\n                                        :\n                                    ‎\n                                 B085MHDJ93            Item model number\n                                    ‏\n                                        :\n                                    ‎\n                                 bag for men            Country of Origin\n                                    ‏\n                                        :\n                                    ‎\n                                 India            Department\n                                    ‏\n                                        :\n                                    ‎\n                                 Unisex Adult and Child            Manufacturer\n                                    ‏\n                                        :\n                                    ‎\n                                 Amazing Bags, Half_Moon, New Delhi            Item Weight\n                                    ‏\n                                        :\n                                    ‎\n                                 600 g            Item Dimensions LxWxH\n                                    ‏\n                                        :\n                                    ‎\n                                 21 x 33 x 48 Centimeters            Net Quantity\n                                    ‏\n                                        :\n                                    ‎\n                                 1 Count            Generic Name\n                                    ‏\n                                        :\n                                    ‎\n                                 Laptop bag"",""Product Details-ASIN"":null}]",""
"1692630240-49","https://www.amazon.in/s?k=bags&crid=2M096C61O4MLT&qid=1653308124&sprefix=ba%2Caps%2C283&ref=sr_pg_18","Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)","https://www.amazon.in/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8/ref=sr_1_18?crid=2M096C61O4MLT&keywords=bags&qid=1692630184&sprefix=ba%2Caps%2C283&sr=8-18","398","","Made of multi-coated 600D polyester Material ; Water Repellent","[]",""
"1692630244-50","https://www.amazon.in/s?k=bags&crid=2M096C61O4MLT&qid=1653308124&sprefix=ba%2Caps%2C283&ref=sr_pg_18","American Tourister VALEX BLUE LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4FK9G/ref=sr_1_17?crid=2M096C61O4MLT&keywords=bags&qid=1692630184&sprefix=ba%2Caps%2C283&sr=8-17","1,399","A backpack isn’t just a bag. It’s a cache, a case, a mobile base of sorts. And it is a reflection of the care you’ve put into selecting the ideal loadout of items to keep on you. Introducing Valex, a modern everyday backpacks collections are available in a variety of nice looking colours to express your true self","Care Instructions: Hand Wash Only","[{""Product Details"":""Product Dimensions\n                                    ‏\n                                        :\n                                    ‎\n                                 20 x 32.5 x 47.5 cm; 510 Grams            Date First Available\n                                    ‏\n                                        :\n                                    ‎\n                                 30 January 2023                                    Manufacturer\n                                    ‏\n                                        :\n                                    ‎\n                                 EXPERTS                         ASIN\n                                    ‏\n                                        :\n                                    ‎\n                                 B0BTD4FK9G            Item model number\n                                    ‏\n                                        :\n                                    ‎\n                                 LT9 (0) 01 002            Country of Origin\n                                    ‏\n                                        :\n                                    ‎\n                                 China            Department\n                                    ‏\n                                        :\n                                    ‎\n                                 Mens            Manufacturer\n                                    ‏\n                                        :\n                                    ‎\n                                 EXPERTS, China            Packer\n                                    ‏\n                                        :\n                                    ‎\n                                 China            Importer\n                                    ‏\n                                        :\n                                    ‎\n                                 Importer Name ltd., Street No. 24/4, New Delhi, India - 110011, Contact: +91-111-000-2400, service@importer.com            Item Weight\n                                    ‏\n                                        :\n                                    ‎\n                                 510 g            Item Dimensions LxWxH\n                                    ‏\n                                        :\n                                    ‎\n                                 20 x 32.5 x 47.5 Centimeters            Net Quantity\n                                    ‏\n                                        :\n                                    ‎\n                                 1 Count            Generic Name\n                                    ‏\n                                        :\n                                    ‎\n                                 BACKPACK"",""Product Details-ASIN"":null}]",""
"1692630248-51","https://www.amazon.in/s?k=bags&crid=2M096C61O4MLT&qid=1653308124&sprefix=ba%2Caps%2C283&ref=sr_pg_18","Safari Seek 45 Ltrs Overnighter Expandable Travel Laptop Backpack","https://www.amazon.in/Safari-45L-21-OB-BLK/dp/B07BZ5VC4H/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1692630184&sprefix=ba%2Caps%2C283&sr=8-16","2,099","","Care Instructions: Hand Wash Only","[{""Product Details"":""Is Discontinued By Manufacturer\n                                    ‏\n                                        :\n                                    ‎\n                                 No            Product Dimensions\n                                    ‏\n                                        :\n                                    ‎\n                                 27 x 32 x 53 cm; 490 Grams            Date First Available\n                                    ‏\n                                        :\n                                    ‎\n                                 5 April 2018                                    Manufacturer\n                                    ‏\n                                        :\n                                    ‎\n                                 Safari Industries (India) Ltd                         ASIN\n                                    ‏\n                                        :\n                                    ‎\n                                 B07BZ5VC4H            Item model number\n                                    ‏\n                                        :\n                                    ‎\n                                 SEEK 45L 21 OB BLK            Country of Origin\n                                    ‏\n                                        :\n                                    ‎\n                                 India            Department\n                                    ‏\n                                        :\n                                    ‎\n                                 Unisex-adult            Manufacturer\n                                    ‏\n                                        :\n                                    ‎\n                                 Safari Industries (India) Ltd, Safari Industries Ltd 301/302, A-Wing, The Qube, M.V.Road, Marol, Andheri(East), Near international Airport Mumbai- 400059 +91-22-40381851/838            Packer\n                                    ‏\n                                        :\n                                    ‎\n                                 Safari Industries Ltd 301/302, A-Wing, The Qube, M.V.Road, Marol, Andheri(East), Near international Airport Mumbai- 400059 +91-22-40381851/838            Importer\n                                    ‏\n                                        :\n                                    ‎\n                                 Imported and Marketed by Safari Industries Ltd 301/302, A-Wing, The Qube, M.V.Road, Marol, Andheri(East), Near international Airport Mumbai- 400059 +91-22-40381851/838            Item Weight\n                                    ‏\n                                        :\n                                    ‎\n                                 490 g            Item Dimensions LxWxH\n                                    ‏\n                                        :\n                                    ‎\n                                 27 x 32 x 53 Centimeters            Net Quantity\n                                    ‏\n                                        :\n                                    ‎\n                                 1 Count            Included Components\n                                    ‏\n                                        :\n                                    ‎\n                                 Safari 45.792 Ltrs Black Casual Backpack (Seek 45L 21 OB BLK)            Generic Name\n                                    ‏\n                                        :\n                                    ‎\n                                 Backpack"",""Product Details-ASIN"":null}]",""
"1692630252-52","https://www.amazon.in/s?k=bags&crid=2M096C61O4MLT&qid=1653308124&sprefix=ba%2Caps%2C283&ref=sr_pg_18","Gear Classic 20L Small Size Faux Leather Water Resistant Anti Theft Unisex Laptop Backpack- Brown","https://www.amazon.in/Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bags&qid=1692630184&sprefix=ba%2Caps%2C283&sr=8-15","979","Gear bags are designed for the quick commute as well for the long journey. these backpacks can be used as laptop bags,adventure bags and so on. Your favorite travel companion, The backpacks come with enough storage space to carry all your requirements.","Care Instructions: Hand Wash Only","[{""Product Details"":""Product Dimensions\n                                    ‏\n                                        :\n                                    ‎\n                                 48 x 32 x 14 cm; 340 Grams            Date First Available\n                                    ‏\n                                        :\n                                    ‎\n                                 2 August 2018                                    Manufacturer\n                                    ‏\n                                        :\n                                    ‎\n                                 Gear Merchandise PVT LTD                         ASIN\n                                    ‏\n                                        :\n                                    ‎\n                                 B07G4F6XFH            Item model number\n                                    ‏\n                                        :\n                                    ‎\n                                 LBPCLSLTH0201            Country of Origin\n                                    ‏\n                                        :\n                                    ‎\n                                 India            Department\n                                    ‏\n                                        :\n                                    ‎\n                                 Unisex-adult            Manufacturer\n                                    ‏\n                                        :\n                                    ‎\n                                 Gear Merchandise PVT LTD, Gear Merchandise PVT LTD E/12 West Chowbaga Gulshan colony KoLkata-700100 Contact 9830403366            Packer\n                                    ‏\n                                        :\n                                    ‎\n                                 Gear Merchandise PVT LTD E/12 West Chowbaga Gulshan colony KoLkata-700100 Contact 9830403366            Item Weight\n                                    ‏\n                                        :\n                                    ‎\n                                 340 g            Item Dimensions LxWxH\n                                    ‏\n                                        :\n                                    ‎\n                                 48 x 32 x 14 Centimeters            Net Quantity\n                                    ‏\n                                        :\n                                    ‎\n                                 1 count            Included Components\n                                    ‏\n                                        :\n                                    ‎\n                                 Laptop Backpack            Generic Name\n                                    ‏\n                                        :\n                                    ‎\n                                 Laptop Backpack"",""Product Details-ASIN"":null}]",""
"1692630257-53","https://www.amazon.in/s?k=bags&crid=2M096C61O4MLT&qid=1653308124&sprefix=ba%2Caps%2C283&ref=sr_pg_18","Sfane Polyester 23cms Duffle/Shoulder/Gym Bag for Men & Women with Separate Shoe Compartment (Grey)","https://www.amazon.in/SFANE-Duffel-Shoulder-Women-Compartment/dp/B07XXFB9CZ/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1692630184&sprefix=ba%2Caps%2C283&sr=8-14","387","Sfane Sports Bag practical everyday sizing make it great for hauling just about anything.Big compartments holds Sports Clothing, Gloves, Shaker, Sports ball, Sports Accessories, etc. Or anything that might be wet or soiled. High quality provide years of dependable service. Made in India.","Premium Durable Material - Travel duffel bag is made of high quality,durable material.","[{""Product Details"":""Is Discontinued By Manufacturer\n                                    ‏\n                                        :\n                                    ‎\n                                 No            Product Dimensions\n                                    ‏\n                                        :\n                                    ‎\n                                 43 x 23 x 25 cm; 370 Grams            Date First Available\n                                    ‏\n                                        :\n                                    ‎\n                                 11 September 2019                                    Manufacturer\n                                    ‏\n                                        :\n                                    ‎\n                                 Sfane            ASIN\n                                    ‏\n                                        :\n                                    ‎\n                                 B07XXFB9CZ            Item model number\n                                    ‏\n                                        :\n                                    ‎\n                                 BG - 05 HALF LTSHOE COMPTT            Country of Origin\n                                    ‏\n                                        :\n                                    ‎\n                                 India            Department\n                                    ‏\n                                        :\n                                    ‎\n                                 Unisex            Manufacturer\n                                    ‏\n                                        :\n                                    ‎\n                                 Sfane, Sfane Trends            Packer\n                                    ‏\n                                        :\n                                    ‎\n                                 Sfane Trends            Importer\n                                    ‏\n                                        :\n                                    ‎\n                                 Sfane Trends            Item Weight\n                                    ‏\n                                        :\n                                    ‎\n                                 370 g            Item Dimensions LxWxH\n                                    ‏\n                                        :\n                                    ‎\n                                 43 x 23 x 25 Centimeters            Net Quantity\n                                    ‏\n                                        :\n                                    ‎\n                                 1.00 count"",""Product Details-ASIN"":null}]",""
"1692630262-54","https://www.amazon.in/s?k=bags&crid=2M096C61O4MLT&qid=1653308124&sprefix=ba%2Caps%2C283&ref=sr_pg_18","Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black","https://www.amazon.in/GEAR-Black-Blue-Backpack-years/dp/B019HA8AYG/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1692630184&sprefix=ba%2Caps%2C283&sr=8-13","199","","Outer Material: Polyester, Color: Black and Yellow.Ideal for 3-5 year old children.","[{""Product Details"":""Is Discontinued By Manufacturer\n                                    ‏\n                                        :\n                                    ‎\n                                 No            Product Dimensions\n                                    ‏\n                                        :\n                                    ‎\n                                 49 x 33 x 10 cm; 82 Grams            Date First Available\n                                    ‏\n                                        :\n                                    ‎\n                                 17 December 2015                                    Manufacturer\n                                    ‏\n                                        :\n                                    ‎\n                                 Gear Merchandise PVT LTD                         ASIN\n                                    ‏\n                                        :\n                                    ‎\n                                 B019HA8AYG            Item model number\n                                    ‏\n                                        :\n                                    ‎\n                                 BKPCARYON0110            Country of Origin\n                                    ‏\n                                        :\n                                    ‎\n                                 India            Department\n                                    ‏\n                                        :\n                                    ‎\n                                 Unisex-adult            Manufacturer\n                                    ‏\n                                        :\n                                    ‎\n                                 Gear Merchandise PVT LTD, Gear Merchandise PVT LTD E/12 West Chowbaga Gulshan colony KoLkata-700100 Contact 9830403366            Packer\n                                    ‏\n                                        :\n                                    ‎\n                                 Gear Merchandise PVT LTD E/12 West Chowbaga Gulshan colony KoLkata-700100 Contact 9830403366            Item Weight\n                                    ‏\n                                        :\n                                    ‎\n                                 82 g            Item Dimensions LxWxH\n                                    ‏\n                                        :\n                                    ‎\n                                 49 x 33 x 10 Centimeters            Net Quantity\n                                    ‏\n                                        :\n                                    ‎\n                                 1 count            Included Components\n                                    ‏\n                                        :\n                                    ‎\n                                 Backpack            Generic Name\n                                    ‏\n                                        :\n                                    ‎\n                                 Bag"",""Product Details-ASIN"":null}]",""
"1692630283-55","https://www.amazon.in/s?k=bags&crid=2M096C61O4MLT&qid=1653308124&sprefix=ba%2Caps%2C283&ref=sr_pg_18","uppercase 26 Ltrs Ryder Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NjE1NTcxMTQ0ODU2NjY1OjE2OTI2MzAxODQ6c3BfbXRmOjIwMTI3NjgzODcyMzk4OjowOjo&url=%2FUPPERCASE-Professional-Backpack-resistant-sustainable%2Fdp%2FB0BXFDK5J2%2Fref%3Dsr_1_12_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1692630184%26sprefix%3Dba%252Caps%252C283%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1","2,400","","Care Instructions: Wipe with Damp Cloth","[{""Product Details"":""Product Dimensions\n                                    ‏\n                                        :\n                                    ‎\n                                 17 x 31 x 49.5 cm; 750 Grams            Date First Available\n                                    ‏\n                                        :\n                                    ‎\n                                 3 March 2023                                    Manufacturer\n                                    ‏\n                                        :\n                                    ‎\n                                 Acefour Accessories Pvt. Ltd.                         ASIN\n                                    ‏\n                                        :\n                                    ‎\n                                 B0BXFDK5J2            Item model number\n                                    ‏\n                                        :\n                                    ‎\n                                 3600EBP1BGE            Country of Origin\n                                    ‏\n                                        :\n                                    ‎\n                                 India            Department\n                                    ‏\n                                        :\n                                    ‎\n                                 Unisex-adult            Manufacturer\n                                    ‏\n                                        :\n                                    ‎\n                                 Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India. Customer Care: Email : customercare@uppercase.co.in & Contact no. +91 8691 800 800            Packer\n                                    ‏\n                                        :\n                                    ‎\n                                 Acefour Accessories Pvt. Ltd.            Item Weight\n                                    ‏\n                                        :\n                                    ‎\n                                 750 g            Item Dimensions LxWxH\n                                    ‏\n                                        :\n                                    ‎\n                                 17 x 31 x 49.5 Centimeters            Net Quantity\n                                    ‏\n                                        :\n                                    ‎\n                                 1.00 count"",""Product Details-ASIN"":null}]",""
"1692630304-56","https://www.amazon.in/s?k=bags&crid=2M096C61O4MLT&qid=1653308124&sprefix=ba%2Caps%2C283&ref=sr_pg_18","HOEXL 42L Expandable Laptop Backpack - Premium Laptop Backpacks for Men, Women for Travel, School, College - Tech Bag with USB - Bagpacker Bag for Men, 17 inch Laptop Bags for Multipurpose with Water-resistant, Smart Bag with Multiple Compartments","https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NjE1NTcxMTQ0ODU2NjY1OjE2OTI2MzAxODQ6c3BfbXRmOjMwMDAxMjMzOTQzMjgzMjo6MDo6&url=%2FHOEXL-Expandable-Laptop-Backpack-Water-resistant%2Fdp%2FB0C3J2RLHP%2Fref%3Dsr_1_11_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1692630184%26sprefix%3Dba%252Caps%252C283%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1","2,699","","Care Instructions: Hand Wash Only","[{""Product Details"":""Product Dimensions\n                                    ‏\n                                        :\n                                    ‎\n                                 32 x 15 x 45 cm; 1 Kilograms            Date First Available\n                                    ‏\n                                        :\n                                    ‎\n                                 25 April 2023                                    Manufacturer\n                                    ‏\n                                        :\n                                    ‎\n                                 HOEXL                         ASIN\n                                    ‏\n                                        :\n                                    ‎\n                                 B0C3J2RLHP            Item model number\n                                    ‏\n                                        :\n                                    ‎\n                                 LB001            Country of Origin\n                                    ‏\n                                        :\n                                    ‎\n                                 India            Department\n                                    ‏\n                                        :\n                                    ‎\n                                 Unisex-adult            Manufacturer\n                                    ‏\n                                        :\n                                    ‎\n                                 HOEXL, SSRN Enterprises            Packer\n                                    ‏\n                                        :\n                                    ‎\n                                 SSRN Enterprises            Importer\n                                    ‏\n                                        :\n                                    ‎\n                                 SSRN Enetrprises            Item Weight\n                                    ‏\n                                        :\n                                    ‎\n                                 1 kg            Item Dimensions LxWxH\n                                    ‏\n                                        :\n                                    ‎\n                                 32 x 15 x 45 Centimeters            Net Quantity\n                                    ‏\n                                        :\n                                    ‎\n                                 1.00 count            Generic Name\n                                    ‏\n                                        :\n                                    ‎\n                                 Expandable Laptop Backpack"",""Product Details-ASIN"":null}]",""
"1692630308-57","https://www.amazon.in/s?k=bags&crid=2M096C61O4MLT&qid=1653308124&sprefix=ba%2Caps%2C283&ref=sr_pg_18","Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover","https://www.amazon.in/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1692630184&sprefix=ba%2Caps%2C283&sr=8-10","849","This backpack is lightweight water-resistant, capacity of approx 37 Ltr, has a soft and ventilated back panel, and is perfect for carrying all your necessities. Adjustable and breathable padded shoulder strap to meet different requirements for both men and women; made from highly rip and water-resistant polyester fabric, provide strengthen and long-lasting performance; roomy enough for your traveling requirements also having a Rain cover.","This lightweight and spacious laptop bag with 3 compartments contains a dedicated 360 degree protected laptop compartment (up to 17""), so you can you can transport your tech with peace of mind. A Spacious second compartment for essentials like books and files, and a third compartment for extra items. Also features padded shoulder straps and side pockets for water bottles.","[{""Product Details"":""Product Dimensions\n                                    ‏\n                                        :\n                                    ‎\n                                 22 x 30 x 50 cm; 660 Grams            Date First Available\n                                    ‏\n                                        :\n                                    ‎\n                                 11 March 2022                                    Manufacturer\n                                    ‏\n                                        :\n                                    ‎\n                                 Amazing Bags                         ASIN\n                                    ‏\n                                        :\n                                    ‎\n                                 B09VCLZ3K4            Item model number\n                                    ‏\n                                        :\n                                    ‎\n                                 laptop bag            Country of Origin\n                                    ‏\n                                        :\n                                    ‎\n                                 India            Department\n                                    ‏\n                                        :\n                                    ‎\n                                 Unisex-adult            Manufacturer\n                                    ‏\n                                        :\n                                    ‎\n                                 Amazing Bags            Item Weight\n                                    ‏\n                                        :\n                                    ‎\n                                 660 g            Item Dimensions LxWxH\n                                    ‏\n                                        :\n                                    ‎\n                                 22 x 30 x 50 Centimeters            Net Quantity\n                                    ‏\n                                        :\n                                    ‎\n                                 1 Count"",""Product Details-ASIN"":null}]",""
"1692630313-58","https://www.amazon.in/s?k=bags&crid=2M096C61O4MLT&qid=1653308124&sprefix=ba%2Caps%2C283&ref=sr_pg_18","Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel","https://www.amazon.in/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5/ref=sr_1_9?crid=2M096C61O4MLT&keywords=bags&qid=1692630184&sprefix=ba%2Caps%2C283&sr=8-9","899","Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel","MATERIAL - We use of Artificial Leather which is Durable, Long Lasting and tested to ensure they don't peel off in just few months. The leather is also water resistant. Inner fabric lining ensured to have a soft touch feel. We use quality zips and accessories that have a long life.","[{""Product Details"":""Is Discontinued By Manufacturer\n                                    ‏\n                                        :\n                                    ‎\n                                 No            Product Dimensions\n                                    ‏\n                                        :\n                                    ‎\n                                 28 x 27 x 47 cm; 900 Grams            Date First Available\n                                    ‏\n                                        :\n                                    ‎\n                                 20 December 2018                                    Manufacturer\n                                    ‏\n                                        :\n                                    ‎\n                                 Fur Jaden            ASIN\n                                    ‏\n                                        :\n                                    ‎\n                                 B07M9BRCQ5            Item model number\n                                    ‏\n                                        :\n                                    ‎\n                                 DUFF05            Country of Origin\n                                    ‏\n                                        :\n                                    ‎\n                                 India            Manufacturer\n                                    ‏\n                                        :\n                                    ‎\n                                 Fur Jaden, 3-C, Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002, 8080888028            Item Weight\n                                    ‏\n                                        :\n                                    ‎\n                                 900 g            Item Dimensions LxWxH\n                                    ‏\n                                        :\n                                    ‎\n                                 28 x 27 x 47 Centimeters            Net Quantity\n                                    ‏\n                                        :\n                                    ‎\n                                 1 count            Included Components\n                                    ‏\n                                        :\n                                    ‎\n                                 1 Duffle Bag            Generic Name\n                                    ‏\n                                        :\n                                    ‎\n                                 Duffle Bag"",""Product Details-ASIN"":null}]",""
